Total Pop,Males < 5,Males 5-9,Males 10-14,Males 15-17,Females < 5,Females 5-9,Females 10-14,Females 15-17,# Foreign Born,Overseas Move Past Year,Total Fam HH,1-person Fam HH,2-person Fam HH,3-person Fam HH,4-person Fam HH,5-person Fam HH,6-person Fam HH,7+-person Fam HH,Total non-Fam HH,1-person non-Fam HH,2-person non-Fam HH,3-person non-Fam HH,4-person non-Fam HH,5-person non-Fam HH,6-person non-Fam HH,7+-person non-Fam HH,Total Female Population,Women 15-50 Who've Given Birth,Total Male Public School,Male Public Age 3-4,Male Public Age 5-9,Male Public Age 10-14,Male Public Age 15-17,Total Male Private School,Male Private Age 3-4,Male Private Age 5-9,Male Private Age 10-14,Male Private Age 15-17,Total Male Not Enrolled,Male Not Enrolled Age 3-4,Male Not Enrolled Age 5-9,Male Not Enrolled Age 10-14,Male Not Enrolled Age 15-17,Total Female Public School,Female Public Age 3-4,Female Public Age 5-9,Female Public Age 10-14,Female Public Age 15-17,Total Female Private School,Female Private Age 3-4,Female Private Age 5-9,Female Private Age 10-14,Female Private Age 15-17,Total Female Not Enrolled,Female Not Enrolled Age 3-4,Female Not Enrolled Age 5-9,Female Not Enrolled Age 10-14,Female Not Enrolled Age 15-17,Total Below Poverty Level Ages 3+,Below Poverty Level Enrolled in School Ages 3+,Below Poverty Level Not Enrolled Ages 3+,NAME,county,state
1584983.0,49806.0,50042.0,47021.0,28378.0,47807.0,46688.0,46436.0,27131.0,497014.0,17857.0,558907.0,368905.0,132618.0,93755.0,81844.0,34725.0,15047.0,10916.0,190002.0,143058.0,35939.0,7013.0,2482.0,869.0,286.0,355.0,414620.0,20792.0,176537.0,5415.0,42166.0,41721.0,25141.0,29729.0,6118.0,6452.0,4810.0,2493.0,540637.0,8477.0,1424.0,490.0,744.0,177751.0,5000.0,39296.0,40940.0,24116.0,33699.0,5911.0,6120.0,5122.0,2535.0,568163.0,8225.0,1272.0,374.0,480.0,186221.0,71488.0,114733.0,"Alameda County, California",001,06
1131.0,29.0,52.0,29.0,52.0,10.0,26.0,25.0,28.0,38.0,15.0,358.0,225.0,114.0,44.0,30.0,19.0,7.0,11.0,133.0,123.0,10.0,0.0,0.0,0.0,0.0,0.0,203.0,5.0,143.0,2.0,40.0,24.0,49.0,46.0,12.0,12.0,5.0,3.0,453.0,3.0,0.0,0.0,0.0,112.0,7.0,24.0,25.0,23.0,8.0,3.0,0.0,0.0,5.0,357.0,0.0,2.0,0.0,0.0,195.0,30.0,165.0,"Alpine County, California",003,06
36995.0,646.0,900.0,736.0,649.0,652.0,751.0,901.0,502.0,2046.0,69.0,13925.0,9402.0,5546.0,1685.0,1268.0,669.0,145.0,89.0,4523.0,3864.0,562.0,97.0,0.0,0.0,0.0,0.0,5759.0,213.0,3415.0,29.0,857.0,702.0,612.0,388.0,29.0,9.0,7.0,2.0,15725.0,104.0,34.0,27.0,35.0,2844.0,98.0,664.0,872.0,497.0,501.0,52.0,83.0,21.0,5.0,13281.0,145.0,4.0,8.0,0.0,3990.0,1224.0,2766.0,"Amador County, California",005,06
222564.0,6241.0,6406.0,6455.0,4135.0,5914.0,6316.0,6086.0,3869.0,16961.0,786.0,85318.0,50963.0,24063.0,11566.0,9244.0,3870.0,1234.0,986.0,34355.0,24602.0,7280.0,1575.0,677.0,195.0,17.0,9.0,52562.0,2915.0,28577.0,871.0,5432.0,5821.0,3812.0,2769.0,375.0,646.0,513.0,227.0,75231.0,1457.0,328.0,121.0,96.0,29978.0,732.0,5683.0,5717.0,3527.0,2400.0,382.0,356.0,290.0,269.0,76524.0,1253.0,277.0,79.0,73.0,45859.0,20263.0,25596.0,"Butte County, California",007,06
44767.0,730.0,1407.0,1005.0,1000.0,1073.0,1047.0,1151.0,777.0,2324.0,73.0,18060.0,12144.0,7028.0,2433.0,1495.0,889.0,186.0,113.0,5916.0,4866.0,875.0,124.0,51.0,0.0,0.0,0.0,7926.0,226.0,3684.0,92.0,1181.0,925.0,879.0,500.0,22.0,183.0,33.0,75.0,17482.0,139.0,43.0,47.0,46.0,3348.0,99.0,863.0,1086.0,621.0,441.0,17.0,94.0,44.0,49.0,18193.0,315.0,90.0,21.0,107.0,5451.0,1071.0,4380.0,"Calaveras County, California",009,06
21396.0,886.0,879.0,902.0,513.0,794.0,881.0,728.0,468.0,5245.0,109.0,6966.0,5375.0,2123.0,1138.0,952.0,641.0,345.0,176.0,1591.0,1358.0,207.0,18.0,8.0,0.0,0.0,0.0,4680.0,309.0,2657.0,71.0,733.0,848.0,508.0,229.0,53.0,95.0,46.0,5.0,7712.0,231.0,51.0,8.0,0.0,2724.0,146.0,822.0,684.0,440.0,243.0,22.0,23.0,33.0,9.0,6819.0,145.0,36.0,11.0,19.0,2831.0,1189.0,1642.0,"Colusa County, California",011,06
1096068.0,33030.0,36684.0,39385.0,23780.0,32153.0,37779.0,35250.0,22406.0,262426.0,9108.0,384646.0,273149.0,101544.0,64744.0,60308.0,28585.0,10964.0,7004.0,111497.0,88204.0,18483.0,2983.0,1239.0,218.0,79.0,291.0,264207.0,13513.0,123073.0,3499.0,31135.0,34836.0,21412.0,22643.0,4540.0,4230.0,4233.0,2080.0,370047.0,6136.0,1319.0,316.0,288.0,122594.0,3487.0,31930.0,31306.0,19868.0,25401.0,4332.0,4716.0,3573.0,2235.0,394439.0,5318.0,1133.0,371.0,303.0,112511.0,42176.0,70335.0,"Contra Costa County, California",013,06
27788.0,940.0,862.0,731.0,595.0,750.0,712.0,877.0,430.0,1630.0,54.0,9420.0,5840.0,2654.0,1357.0,812.0,687.0,174.0,156.0,3580.0,3080.0,384.0,92.0,21.0,3.0,0.0,0.0,5087.0,472.0,2866.0,38.0,823.0,671.0,529.0,291.0,35.0,18.0,58.0,51.0,11634.0,240.0,21.0,2.0,15.0,2703.0,174.0,595.0,846.0,391.0,300.0,48.0,73.0,31.0,34.0,9026.0,187.0,44.0,0.0,5.0,4819.0,1632.0,3187.0,"Del Norte County, California",015,06
182093.0,4273.0,5416.0,6258.0,3944.0,4104.0,5548.0,5434.0,3848.0,17175.0,712.0,67086.0,47274.0,23252.0,10107.0,8453.0,3616.0,1184.0,662.0,19812.0,15818.0,3191.0,516.0,163.0,89.0,35.0,0.0,37981.0,1811.0,19440.0,489.0,4785.0,5676.0,3727.0,2311.0,339.0,490.0,539.0,173.0,66645.0,871.0,141.0,43.0,44.0,18514.0,512.0,4471.0,4875.0,3513.0,2646.0,367.0,821.0,458.0,294.0,67661.0,923.0,256.0,101.0,41.0,18247.0,5148.0,13099.0,"El Dorado County, California",017,06
956749.0,40418.0,39923.0,38269.0,23122.0,39027.0,39694.0,35038.0,22327.0,204747.0,4165.0,296305.0,216106.0,68094.0,47161.0,44384.0,29992.0,14566.0,11909.0,80199.0,63305.0,13047.0,2184.0,1101.0,246.0,176.0,140.0,235428.0,14136.0,133840.0,5624.0,36753.0,35977.0,21310.0,10916.0,1468.0,1720.0,1726.0,1044.0,309970.0,10736.0,1450.0,566.0,768.0,131642.0,4199.0,36579.0,33217.0,21045.0,12207.0,1368.0,1842.0,1464.0,843.0,312508.0,10384.0,1273.0,357.0,439.0,232469.0,96832.0,135637.0,"Fresno County, California",019,06
