Total Pop,Males < 5,Males 5-9,Males 10-14,Males 15-17,Females < 5,Females 5-9,Females 10-14,Females 15-17,# Foreign Born,Overseas Move Past Year,Total Fam HH,1-person Fam HH,2-person Fam HH,3-person Fam HH,4-person Fam HH,5-person Fam HH,6-person Fam HH,7+-person Fam HH,Total non-Fam HH,1-person non-Fam HH,2-person non-Fam HH,3-person non-Fam HH,4-person non-Fam HH,5-person non-Fam HH,6-person non-Fam HH,7+-person non-Fam HH,Total Female Population,Women 15-50 Who've Given Birth,Total Male Public School,Male Public Age 3-4,Male Public Age 5-9,Male Public Age 10-14,Male Public Age 15-17,Total Male Private School,Male Private Age 3-4,Male Private Age 5-9,Male Private Age 10-14,Male Private Age 15-17,Total Male Not Enrolled,Male Not Enrolled Age 3-4,Male Not Enrolled Age 5-9,Male Not Enrolled Age 10-14,Male Not Enrolled Age 15-17,Total Female Public School,Female Public Age 3-4,Female Public Age 5-9,Female Public Age 10-14,Female Public Age 15-17,Total Female Private School,Female Private Age 3-4,Female Private Age 5-9,Female Private Age 10-14,Female Private Age 15-17,Total Female Not Enrolled,Female Not Enrolled Age 3-4,Female Not Enrolled Age 5-9,Female Not Enrolled Age 10-14,Female Not Enrolled Age 15-17,Total Below Poverty Level Ages 3+,Below Poverty Level Enrolled in School Ages 3+,Below Poverty Level Preschool,Below Poverty Level Kinder,Below Poverty Level Grades 1-4,Below Poverty Level Grades 5-8,Below Poverty Level Grades 9-12,Below Poverty Level Not Enrolled Ages 3+,Above Poverty Level Preschool,Above Poverty Level Kinder,Above Poverty Level Grades 1-4,Above Poverty Level Grades 5-8,Above Poverty Level Grades 9-12,NAME,county,state
1605217,49865.0,50533.0,47232.0,28154.0,47707.0,46762.0,46917.0,27042.0,508761.0,19919.0,564293.0,375294.0,133865.0,95318.0,85065.0,35977.0,14547.0,10522.0,188999.0,140943.0,36525.0,6981.0,2799.0,1021.0,334.0,396.0,418849.0,20493.0,177977.0,5481.0,43068.0,42063.0,25298.0,28923.0,5908.0,6156.0,4630.0,2215.0,549864.0,8510.0,1309.0,539.0,641.0,177323.0,4595.0,39282.0,41457.0,24130.0,34279.0,6310.0,6190.0,5074.0,2363.0,578465.0,8382.0,1290.0,386.0,549.0,181650.0,69287.0,2947.0,2982.0,11207.0,10788.0,11070.0,112363.0,23231.0,18103.0,62660.0,64017.0,64534.0,"Alameda County, California",001,06
1184,33.0,34.0,45.0,54.0,18.0,24.0,30.0,36.0,37.0,8.0,343.0,236.0,119.0,37.0,40.0,19.0,6.0,15.0,107.0,98.0,9.0,0.0,0.0,0.0,0.0,0.0,198.0,10.0,154.0,4.0,25.0,38.0,54.0,37.0,10.0,9.0,7.0,0.0,488.0,6.0,0.0,0.0,0.0,117.0,6.0,14.0,28.0,29.0,21.0,2.0,7.0,2.0,7.0,347.0,3.0,3.0,0.0,0.0,212.0,47.0,4.0,2.0,6.0,4.0,19.0,165.0,18.0,0.0,48.0,39.0,104.0,"Alpine County, California",003,06
36963,681.0,947.0,676.0,641.0,711.0,669.0,944.0,476.0,2254.0,50.0,14248.0,9646.0,5565.0,1565.0,1546.0,650.0,221.0,99.0,4602.0,3972.0,553.0,77.0,0.0,0.0,0.0,0.0,5697.0,294.0,3348.0,43.0,903.0,604.0,582.0,368.0,22.0,5.0,42.0,2.0,15638.0,131.0,39.0,30.0,57.0,2699.0,77.0,589.0,935.0,456.0,397.0,39.0,76.0,0.0,5.0,13629.0,196.0,4.0,9.0,15.0,3508.0,958.0,59.0,106.0,320.0,195.0,140.0,2550.0,207.0,207.0,1037.0,1069.0,1244.0,"Amador County, California",005,06
223877,6353.0,6577.0,6312.0,4125.0,5867.0,6625.0,5830.0,3783.0,17501.0,709.0,85505.0,50904.0,24329.0,10909.0,9396.0,4142.0,1255.0,873.0,34601.0,24375.0,7482.0,1613.0,870.0,225.0,26.0,10.0,52347.0,2583.0,29368.0,1001.0,5748.0,5615.0,3848.0,2480.0,402.0,561.0,540.0,185.0,75436.0,1308.0,268.0,157.0,92.0,30629.0,750.0,5919.0,5458.0,3436.0,2600.0,542.0,377.0,293.0,275.0,76353.0,1206.0,329.0,79.0,72.0,44981.0,20564.0,665.0,460.0,2546.0,1902.0,2538.0,24417.0,2684.0,1740.0,7552.0,7386.0,8247.0,"Butte County, California",007,06
44787,750.0,1452.0,900.0,941.0,1077.0,1099.0,1073.0,750.0,2653.0,69.0,17713.0,11986.0,6695.0,2421.0,1545.0,964.0,249.0,112.0,5727.0,4704.0,867.0,108.0,48.0,0.0,0.0,0.0,7800.0,211.0,3625.0,113.0,1241.0,831.0,814.0,418.0,30.0,121.0,23.0,67.0,17670.0,164.0,90.0,46.0,60.0,3296.0,51.0,902.0,1021.0,630.0,393.0,23.0,100.0,27.0,34.0,18142.0,203.0,97.0,25.0,86.0,5462.0,1174.0,113.0,41.0,225.0,283.0,267.0,4288.0,216.0,374.0,1488.0,1448.0,1771.0,"Calaveras County, California",009,06
21361,800.0,890.0,910.0,494.0,774.0,770.0,830.0,468.0,5334.0,60.0,6962.0,5390.0,2084.0,1111.0,1001.0,735.0,311.0,148.0,1572.0,1328.0,233.0,0.0,11.0,0.0,0.0,0.0,4599.0,349.0,2721.0,77.0,814.0,826.0,494.0,214.0,23.0,38.0,84.0,0.0,7686.0,224.0,38.0,0.0,0.0,2690.0,123.0,700.0,781.0,429.0,170.0,27.0,24.0,37.0,16.0,6953.0,173.0,46.0,12.0,23.0,2618.0,1122.0,46.0,85.0,225.0,298.0,253.0,1496.0,244.0,250.0,1050.0,1176.0,1017.0,"Colusa County, California",011,06
1107925,33209.0,37232.0,38833.0,23666.0,32086.0,37363.0,35872.0,22404.0,270315.0,9094.0,387540.0,276292.0,103250.0,64457.0,61193.0,29023.0,11290.0,7079.0,111248.0,88187.0,18149.0,2955.0,1355.0,207.0,142.0,253.0,264994.0,13111.0,123337.0,3590.0,31784.0,34357.0,21362.0,22189.0,4393.0,4428.0,4223.0,1973.0,376026.0,6107.0,1020.0,253.0,331.0,122520.0,3605.0,31178.0,32146.0,19802.0,25383.0,4391.0,4860.0,3352.0,2239.0,400993.0,5732.0,1325.0,374.0,363.0,106839.0,38507.0,1565.0,2033.0,8159.0,7180.0,8539.0,68332.0,17273.0,12681.0,49966.0,52201.0,54736.0,"Contra Costa County, California",013,06
27628,892.0,834.0,722.0,580.0,739.0,760.0,882.0,446.0,1563.0,27.0,9443.0,5774.0,2733.0,1383.0,670.0,646.0,190.0,152.0,3669.0,3184.0,347.0,111.0,25.0,2.0,0.0,0.0,5141.0,477.0,2857.0,68.0,802.0,659.0,498.0,209.0,34.0,9.0,62.0,66.0,11496.0,184.0,23.0,1.0,16.0,2896.0,158.0,655.0,843.0,417.0,285.0,55.0,98.0,39.0,29.0,8924.0,171.0,7.0,0.0,0.0,4866.0,1662.0,91.0,117.0,374.0,468.0,235.0,3204.0,227.0,227.0,869.0,853.0,1021.0,"Del Norte County, California",015,06
183000,4334.0,5386.0,6101.0,3902.0,4191.0,5428.0,5320.0,3744.0,17160.0,571.0,67528.0,47835.0,23696.0,10345.0,8475.0,3420.0,1302.0,597.0,19693.0,15640.0,3198.0,537.0,209.0,76.0,33.0,0.0,37551.0,1764.0,19000.0,499.0,4691.0,5444.0,3585.0,2402.0,335.0,561.0,632.0,183.0,67296.0,849.0,134.0,25.0,134.0,18244.0,454.0,4441.0,4847.0,3348.0,2469.0,404.0,766.0,440.0,278.0,68695.0,1090.0,221.0,33.0,118.0,17321.0,4476.0,219.0,426.0,1031.0,790.0,1117.0,12845.0,1940.0,1925.0,7365.0,8230.0,8952.0,"El Dorado County, California",017,06
963160,40456.0,39634.0,39061.0,22859.0,38756.0,39663.0,35656.0,22161.0,205766.0,4492.0,299456.0,217545.0,68328.0,47472.0,44619.0,30640.0,14970.0,11516.0,81911.0,64244.0,13584.0,2337.0,1200.0,293.0,186.0,67.0,236089.0,14110.0,134200.0,5200.0,36598.0,36777.0,21152.0,10529.0,1305.0,1668.0,1678.0,1023.0,312590.0,10743.0,1368.0,606.0,684.0,133220.0,4528.0,36612.0,33922.0,20923.0,11524.0,1425.0,1772.0,1463.0,862.0,315213.0,10127.0,1279.0,271.0,376.0,234440.0,96731.0,5335.0,6336.0,24641.0,20720.0,20541.0,137709.0,8990.0,9646.0,37726.0,38398.0,40379.0,"Fresno County, California",019,06
