County,cases_2010,pop_2010,sick_rate_2010,vax_rate_2010,cases_2011,pop_2011,sick_rate_2011,vax_rate_2011,cases_2012,pop_2012,sick_rate_2012,vax_rate_2012,cases_2013,pop_2013,sick_rate_2013,vax_rate_2013,cases_2014,pop_2014,sick_rate_2014,vax_rate_2014,cases_2015,pop_2015,sick_rate_2015,vax_rate_2015
Alameda,436,"1,510,261",2.886918221,93.44280797,209,"1,513,402",1.380994607,93.14977523,68,"1,532,215",0.443801947,90.54754744,137,"1,556,648",0.880096207,91.41751133,419,"1,582,936",2.646980042,91.44222415,189,"1,611,572",1.172767956,96.82216149
Alpine,0,"1,175",0,100,0,"1,161",0,100,0,"1,093",0,84.21052632,0,"1,110",0,83.33333333,0,"1,127",0,NaN,0,"1,084",0,NaN
Amador,4,"38,091",1.050116825,95.81993569,11,"37,884",2.903600465,90.47619048,1,"37,539",0.266389621,90.78014184,2,"37,112",0.538909248,84.19243986,1,"36,635",0.272963014,94.73684211,2,"36,748",0.544247306,89.40397351
Butte,32,"220,002",1.454532232,90.18822587,16,"219,957",0.727414904,89.9687744,3,"220,003",0.136361777,90.43809524,33,"220,969",1.493422154,88.38782413,33,"221,768",1.488041557,89.06538604,8,"223,629",0.357735356,91.45536645
Calaveras,9,"45,578",1.974636886,78.93401015,5,"45,470",1.099626127,81.12244898,0,"45,163",0,79.74683544,2,"44,826",0.446169634,78.78103837,17,"44,667",3.805941747,84.78802993,1,"44,677",0.223828816,88.72901679
Colusa,11,"21,419",5.135627247,97.56097561,1,"21,453",0.466135272,98.69451697,0,"21,366",0,97.7443609,0,"21,350",0,99.06103286,0,"21,336",0,99.24242424,4,"21,268",1.880759827,99.74554707
Contra Costa,205,"1,049,200",1.953869615,94.01499856,114,"1,052,799",1.082827776,95.28453019,24,"1,066,182",0.225102281,94.987314,69,"1,079,093",0.639425888,95.13729203,474,"1,095,310",4.327541974,95.23385606,181,"1,110,971",1.629205443,96.01096821
Del Norte,16,"28,610",5.592450192,91.90938511,0,"28,566",0,87.53462604,0,"28,447",0,88.11188811,0,"28,203",0,87.97468354,2,"27,830",0.71864894,90,0,"27,206",0,89.39393939
El Dorado,54,"181,058",2.982469706,87.14171975,11,"181,149",0.607234928,89.17647059,3,"180,975",0.165768753,88.38071693,4,"180,680",0.221385876,84.33789954,36,"181,618",1.982182383,91.00602689,27,"183,333",1.47272995,90.90501792
Fresno,550,"930,495",5.910832406,96.54535025,58,"932,218",0.622172067,95.5346294,16,"940,360",0.170147603,95.54897864,43,"946,851",0.454136923,94.98563299,392,"953,787",4.109932301,96.07152836,57,"963,170",0.591795841,96.92900326
Glenn,1,"28,122",0.355593486,96.76724138,1,"28,130",0.355492357,97.05263158,0,"28,160",0,97.88359788,0,"27,894",0,97.13114754,1,"27,866",0.35886026,98.29351536,2,"27,909",0.716614712,95.39748954
Humboldt,58,"134,623",4.3083277,79.56104252,15,"135,019",1.110954755,79.71602434,1,"135,239",0.073943167,80.73089701,5,"134,596",0.371482065,78.3625731,148,"134,444",11.00830085,81.69934641,56,"134,584",4.1609701,84.81548699
Imperial,9,"174,528",0.515676568,96.07638889,3,"174,778",0.171646317,96.71532847,8,"176,157",0.454140341,96.25,3,"177,241",0.169261063,96.90370874,10,"177,267",0.56412079,95.59300065,10,"178,868",0.559071494,96.71875
Inyo,8,"18,546",4.31359862,97.48743719,0,"18,517",0,98.2300885,1,"18,401",0.543448726,97.10144928,0,"18,370",0,96.80851064,0,"18,377",0,97.4248927,0,"18,340",0,99.50980392
Kern,376,"839,621",4.478211002,91.65625434,49,"841,116",0.582559362,94.47136125,2,"848,767",0.023563593,95.36318535,30,"855,237",0.350779959,94.06627439,167,"864,014",1.932839051,94.95976545,146,"871,895",1.67451356,96.23941001
Kings,26,"152,982",1.699546352,97.51148545,6,"152,404",0.393690454,96.02649007,0,"152,030",0,97.72,2,"151,265",0.132218292,97.8568834,16,"150,675",1.06188817,97.22735675,6,"149,862",0.400368339,97.27626459
Lake,5,"64,665",0.773215805,91.74434088,3,"64,742",0.463377715,89.10614525,2,"64,273",0.311172654,89.02777778,3,"64,005",0.468713382,88.56088561,3,"63,855",0.469814423,92.21556886,6,"64,113",0.935847644,94.26751592
Lassen,1,"34,895",0.286574008,91.09589041,0,"34,831",0,87.53799392,0,"34,244",0,85.50724638,0,"33,632",0,88.82833787,5,"32,135",1.555935895,85.71428571,0,"31,716",0,87.80487805
Los Angeles,1395,"9,818,696",1.420758928,92.87087733,643,"9,824,490",0.6544869,92.30727796,216,"9,885,998",0.218490839,91.28617412,365,"9,956,152",0.366607501,91.37204546,2206,"10,018,604",2.201903579,89.39178649,1184,"10,072,695",1.17545503,92.67005502
Madera,120,"150,843",7.955291263,96.66666667,8,"151,037",0.529671537,94.73478939,0,"151,876",0,94.83438486,10,"151,900",0.658327847,95.34545455,47,"151,819",3.095791699,94.12292508,6,"154,103",0.38934998,96.35642136
Marin,351,"252,419",13.90545086,86.60550459,26,"252,940",1.027911758,82.64412919,5,"255,505",0.195690887,85.86603718,183,"256,381",7.137814425,84.92226459,273,"258,856",10.54640418,87.72036474,53,"261,007",2.030596881,90.5752754
Mariposa,10,"18,250",5.479452055,82.59385666,1,"18,280",0.547045952,87.91946309,0,"18,174",0,83.47826087,0,"17,893",0,81.08108108,0,"17,820",0,81.52866242,0,"17,730",0,81.63265306
Mendocino,27,"87,840",3.073770492,86.10855566,3,"87,799",0.341689541,85.90733591,1,"87,367",0.114459693,85.35681186,6,"87,376",0.68668742,77.87532924,10,"87,164",1.147262631,83.92394123,9,"87,375",1.030042918,89.68253968
Merced,131,"255,798",5.121228469,95.86869138,27,"256,772",1.05151652,96.70306594,0,"259,607",0,96.24710099,1,"261,407",0.038254523,96.00411946,9,"262,712",0.342580468,96.62031672,13,"265,281",0.490046404,97.05646776
Modoc,0,"9,686",0,94.73684211,0,"9,699",0,81.14754098,0,"9,515",0,93.57798165,0,"9,359",0,90.51094891,6,"9,154",6.554511689,94.23076923,0,"9,083",0,88.0952381
Mono,18,"14,202",12.67427123,96.55172414,2,"14,204",1.408054069,98.46153846,21,"14,329",14.65559355,94.11764706,2,"14,248",1.403705783,92.06349206,0,"13,997",0,88.97058824,0,"14,072",0,89.68253968
Monterey,132,"415,052",3.180324393,95.32270311,38,"416,475",0.912419713,95.09832697,17,"421,162",0.403645153,94.81873112,49,"426,094",1.14998099,92.533027,129,"428,382",3.011331008,90.63130585,76,"430,416",1.765733616,95.70561018
Napa,25,"136,530",1.831099392,94.70588235,11,"136,794",0.804128836,94.36860068,6,"137,905",0.435082122,94.70553242,13,"138,876",0.936086869,93.60703812,137,"139,978",9.787252283,94.79553903,49,"140,918",3.477199506,94.68457944
