County,cases_2010,pop_2010,sick_rate_2010,vax_rate_2010,cases_2011,pop_2011,sick_rate_2011,vax_rate_2011,cases_2012,pop_2012,sick_rate_2012,vax_rate_2012,cases_2013,pop_2013,sick_rate_2013,vax_rate_2013,cases_2014,pop_2014,sick_rate_2014,vax_rate_2014,cases_2015,pop_2015,sick_rate_2015,vax_rate_2015
Alameda,436,"1,510,261",29,93.44280797,209,"1,513,402",14,93.14977523,68,"1,532,215",4,90.54754744,137,"1,556,648",9,91.41751133,419,"1,582,936",26,91.44222415,189,"1,611,572",12,96.82216149
Alpine,0,"1,175",0,100,0,"1,161",0,100,0,"1,093",0,84.21052632,0,"1,110",0,83.33333333,0,"1,127",0,NaN,0,"1,084",0,NaN
Amador,4,"38,091",11,95.81993569,11,"37,884",29,90.47619048,1,"37,539",3,90.78014184,2,"37,112",5,84.19243986,1,"36,635",3,94.73684211,2,"36,748",5,89.40397351
Butte,32,"220,002",15,90.18822587,16,"219,957",7,89.9687744,3,"220,003",1,90.43809524,33,"220,969",15,88.38782413,33,"221,768",15,89.06538604,8,"223,629",4,91.45536645
Calaveras,9,"45,578",20,78.93401015,5,"45,470",11,81.12244898,0,"45,163",0,79.74683544,2,"44,826",4,78.78103837,17,"44,667",38,84.78802993,1,"44,677",2,88.72901679
Colusa,11,"21,419",51,97.56097561,1,"21,453",5,98.69451697,0,"21,366",0,97.7443609,0,"21,350",0,99.06103286,0,"21,336",0,99.24242424,4,"21,268",19,99.74554707
Contra Costa,205,"1,049,200",20,94.01499856,114,"1,052,799",11,95.28453019,24,"1,066,182",2,94.987314,69,"1,079,093",6,95.13729203,474,"1,095,310",43,95.23385606,181,"1,110,971",16,96.01096821
Del Norte,16,"28,610",56,91.90938511,0,"28,566",0,87.53462604,0,"28,447",0,88.11188811,0,"28,203",0,87.97468354,2,"27,830",7,90,0,"27,206",0,89.39393939
El Dorado,54,"181,058",30,87.14171975,11,"181,149",6,89.17647059,3,"180,975",2,88.38071693,4,"180,680",2,84.33789954,36,"181,618",20,91.00602689,27,"183,333",15,90.90501792
Fresno,550,"930,495",59,96.54535025,58,"932,218",6,95.5346294,16,"940,360",2,95.54897864,43,"946,851",5,94.98563299,392,"953,787",41,96.07152836,57,"963,170",6,96.92900326
Glenn,1,"28,122",4,96.76724138,1,"28,130",4,97.05263158,0,"28,160",0,97.88359788,0,"27,894",0,97.13114754,1,"27,866",4,98.29351536,2,"27,909",7,95.39748954
Humboldt,58,"134,623",43,79.56104252,15,"135,019",11,79.71602434,1,"135,239",1,80.73089701,5,"134,596",4,78.3625731,148,"134,444",110,81.69934641,56,"134,584",42,84.81548699
Imperial,9,"174,528",5,96.07638889,3,"174,778",2,96.71532847,8,"176,157",5,96.25,3,"177,241",2,96.90370874,10,"177,267",6,95.59300065,10,"178,868",6,96.71875
Inyo,8,"18,546",43,97.48743719,0,"18,517",0,98.2300885,1,"18,401",5,97.10144928,0,"18,370",0,96.80851064,0,"18,377",0,97.4248927,0,"18,340",0,99.50980392
Kern,376,"839,621",45,91.65625434,49,"841,116",6,94.47136125,2,"848,767",0,95.36318535,30,"855,237",4,94.06627439,167,"864,014",19,94.95976545,146,"871,895",17,96.23941001
Kings,26,"152,982",17,97.51148545,6,"152,404",4,96.02649007,0,"152,030",0,97.72,2,"151,265",1,97.8568834,16,"150,675",11,97.22735675,6,"149,862",4,97.27626459
Lake,5,"64,665",8,91.74434088,3,"64,742",5,89.10614525,2,"64,273",3,89.02777778,3,"64,005",5,88.56088561,3,"63,855",5,92.21556886,6,"64,113",9,94.26751592
Lassen,1,"34,895",3,91.09589041,0,"34,831",0,87.53799392,0,"34,244",0,85.50724638,0,"33,632",0,88.82833787,5,"32,135",16,85.71428571,0,"31,716",0,87.80487805
Los Angeles,1395,"9,818,696",14,92.87087733,643,"9,824,490",7,92.30727796,216,"9,885,998",2,91.28617412,365,"9,956,152",4,91.37204546,2206,"10,018,604",22,89.39178649,1184,"10,072,695",12,92.67005502
Madera,120,"150,843",80,96.66666667,8,"151,037",5,94.73478939,0,"151,876",0,94.83438486,10,"151,900",7,95.34545455,47,"151,819",31,94.12292508,6,"154,103",4,96.35642136
Marin,351,"252,419",139,86.60550459,26,"252,940",10,82.64412919,5,"255,505",2,85.86603718,183,"256,381",71,84.92226459,273,"258,856",105,87.72036474,53,"261,007",20,90.5752754
Mariposa,10,"18,250",55,82.59385666,1,"18,280",5,87.91946309,0,"18,174",0,83.47826087,0,"17,893",0,81.08108108,0,"17,820",0,81.52866242,0,"17,730",0,81.63265306
Mendocino,27,"87,840",31,86.10855566,3,"87,799",3,85.90733591,1,"87,367",1,85.35681186,6,"87,376",7,77.87532924,10,"87,164",11,83.92394123,9,"87,375",10,89.68253968
Merced,131,"255,798",51,95.86869138,27,"256,772",11,96.70306594,0,"259,607",0,96.24710099,1,"261,407",0,96.00411946,9,"262,712",3,96.62031672,13,"265,281",5,97.05646776
Modoc,0,"9,686",0,94.73684211,0,"9,699",0,81.14754098,0,"9,515",0,93.57798165,0,"9,359",0,90.51094891,6,"9,154",66,94.23076923,0,"9,083",0,88.0952381
Mono,18,"14,202",127,96.55172414,2,"14,204",14,98.46153846,21,"14,329",147,94.11764706,2,"14,248",14,92.06349206,0,"13,997",0,88.97058824,0,"14,072",0,89.68253968
Monterey,132,"415,052",32,95.32270311,38,"416,475",9,95.09832697,17,"421,162",4,94.81873112,49,"426,094",11,92.533027,129,"428,382",30,90.63130585,76,"430,416",18,95.70561018
Napa,25,"136,530",18,94.70588235,11,"136,794",8,94.36860068,6,"137,905",4,94.70553242,13,"138,876",9,93.60703812,137,"139,978",98,94.79553903,49,"140,918",35,94.68457944
Nevada,23,"98,748",23,76.91292876,2,"98,791",2,73.17073171,5,"98,714",5,70.37484885,71,"98,173",72,75.02986858,16,"97,992",16,74.5823389,3,"98,614",3,78.85714286
Orange,499,"3,010,265",17,91.90280447,142,"3,017,116",5,91.98666443,73,"3,053,465",2,92.11784193,113,"3,085,386",4,91.0474276,447,"3,113,649",14,92.16422372,162,"3,136,750",5,93.78925164
Placer,80,"348,494",23,91.47286822,19,"350,034",5,88.31439394,11,"356,445",3,87.17902351,83,"360,569",23,88.04543815,120,"365,822",33,88.09480401,49,"369,727",13,90.49789621
Plumas,2,"20,007",10,89.50617284,4,"19,914",20,91.75824176,0,"19,716",0,89.69072165,1,"19,377",5,84.07643312,1,"18,899",5,85,2,"18,667",11,87.36263736
Riverside,467,"2,189,753",21,95.57162082,166,"2,202,001",8,95.13588682,46,"2,235,890",2,95.0855393,80,"2,264,804",4,94.77990218,469,"2,291,406",20,95.42106948,182,"2,321,738",8,95.88103353
Sacramento,175,"1,418,742",12,88.02560366,69,"1,421,651",5,86.88581659,34,"1,434,506",2,87.1670082,71,"1,446,585",5,87.33121318,446,"1,459,474",31,88.99907512,286,"1,477,522",19,89.77112591
San Benito,7,"55,269",13,96.49122807,3,"55,532",5,97.13024283,1,"56,034",2,97.19101124,1,"56,701",2,97.20982143,11,"57,370",19,97.27272727,7,"57,974",12,97.03872437
San Bernardino,182,"2,035,212",9,95.48836623,115,"2,041,234",6,95.45551917,54,"2,062,381",3,95.34279995,38,"2,076,601",2,94.48139936,206,"2,086,732",10,95.05989359,91,"2,104,038",4,95.59798462
San Diego,1140,"3,095,342",37,93.4228285,398,"3,103,793",13,93.19477739,161,"3,139,767",5,92.49169279,408,"3,179,798",13,91.90257054,2019,"3,216,522",63,93.64780884,895,"3,256,875",27,94.41237386
San Francisco,141,"805,193",18,91.11418048,71,"805,770",9,90.87787399,30,"816,294",4,91.37178136,59,"830,406",7,90.68094874,131,"841,270",16,88.53415196,69,"853,258",8,93.77819256
San Joaquin,84,"685,308",12,96.70819314,28,"687,291",4,97.45687356,15,"695,071",2,97.3696023,26,"700,958",4,96.54732623,214,"703,747",30,96.40933573,81,"713,452",11,96.82982917
San Luis Obispo,371,"269,591",138,89.77059045,15,"269,819",6,89.4092219,14,"271,150",5,89.63333333,17,"274,378",6,87.3603352,45,"275,973",16,89.48087432,21,"278,534",8,91.11328125
San Mateo,191,"718,500",27,91.51481888,58,"719,899",8,93.1835206,23,"729,022",3,94.09842976,104,"740,644",14,92.91321647,128,"750,345",17,94.86212839,40,"759,156",5,96.33065347
Santa Barbara,66,"423,949",16,94.71276055,18,"424,338",4,94.94244855,11,"426,058",3,93.15206445,29,"430,827",7,93.00444162,120,"435,980",28,95.54140127,66,"440,628",15,95.80775565
Santa Clara,478,"1,781,671",27,95.52291839,175,"1,786,542",10,95.79173706,45,"1,813,812",2,95.1362497,253,"1,841,868",14,94.41604858,537,"1,870,935",29,95.19623876,149,"1,896,246",8,95.88920726
Santa Cruz,87,"262,366",33,85.21662763,22,"263,216",8,86.72813635,13,"265,103",5,85.6251772,54,"266,794",20,87.00721821,166,"269,395",62,86.4010989,79,"271,529",29,89.36895964
Shasta,32,"177,223",18,84.88931665,27,"177,284",15,84.16021848,2,"177,595",1,83.83262007,7,"177,917",4,80.66058236,33,"178,445",18,86.32204941,15,"178,983",8,85.07877665
Sierra,0,"3,240",0,92.85714286,0,"3,221",0,96,0,"3,100",0,100,0,"3,068",0,100,0,"3,030",0,100,0,"2,979",0,100
Siskiyou,10,"44,900",22,83.40707965,0,"44,939",0,85.05747126,2,"44,614",4,84.46389497,5,"44,082",11,82.90398126,7,"43,543",16,86.36363636,6,"43,390",14,86.8852459
Solano,40,"413,344",10,96.35346325,12,"414,076",3,95.9749383,10,"416,652",2,95.47738693,15,"420,267",4,95.67164179,144,"424,384",34,95.58515699,42,"429,993",10,95.61403509
Sonoma,246,"483,870",51,90.65088757,116,"484,827",24,91.53245891,18,"487,822",4,91.00107313,51,"490,740",10,91.04661933,704,"495,007",142,91.92700278,34,"499,563",7,93.43087489
Stanislaus,159,"514,451",31,95.37661109,43,"515,242",8,94.66744457,11,"518,034",2,94.3809636,16,"521,349",3,94.12668789,92,"524,625",18,94.34026209,38,"529,544",7,95.61225579
